page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   2     0 image     586   223  icc     3   8  image  yes      588  0   371   371 1733B 0.4%
   2     1 smask     586   223  gray    1   8  image  yes      588  0   371   371 4003B 3.1%
   2     2 image     322    74  icc     3   8  image  yes      599  0   370   369  335B 0.5%
   2     3 smask     322    74  gray    1   8  image  yes      599  0   370   369 1339B 5.6%
   2     4 image     370    74  icc     3   8  image  yes      601  0   371   369  382B 0.5%
   2     5 smask     370    74  gray    1   8  image  yes      601  0   371   369 1338B 4.9%
   2     6 image     206    74  icc     3   8  image  yes      602  0   371   369  223B 0.5%
   2     7 smask     206    74  gray    1   8  image  yes      602  0   371   369 1194B 7.8%
   2     8 image     655   238  icc     3   8  image  yes      603  0   370   370 2063B 0.4%
   2     9 smask     655   238  gray    1   8  image  yes      603  0   370   370 4230B 2.7%
   2    10 image     221   110  icc     3   8  image  yes      604  0   370   369  341B 0.5%
   2    11 smask     221   110  gray    1   8  image  yes      604  0   370   369 1313B 5.4%
   2    12 image     221   110  icc     3   8  image  yes      604  0   370   369  341B 0.5%
   2    13 smask     221   110  gray    1   8  image  yes      604  0   370   369 1313B 5.4%
   2    14 image     206    98  icc     3   8  image  yes      605  0   371   372  287B 0.5%
   2    15 smask     206    98  gray    1   8  image  yes      605  0   371   372 1378B 6.8%
   2    16 image     206    98  icc     3   8  image  yes      605  0   371   372  287B 0.5%
   2    17 smask     206    98  gray    1   8  image  yes      605  0   371   372 1378B 6.8%
   2    18 image     206    98  icc     3   8  image  yes      605  0   371   372  287B 0.5%
   2    19 smask     206    98  gray    1   8  image  yes      605  0   371   372 1378B 6.8%
   2    20 image     718   216  icc     3   8  image  yes      606  0   370   370 2052B 0.4%
   2    21 smask     718   216  gray    1   8  image  yes      606  0   370   370 4147B 2.7%
   2    22 image     231    74  icc     3   8  image  yes      607  0   370   369  247B 0.5%
   2    23 smask     231    74  gray    1   8  image  yes      607  0   370   369 1298B 7.6%
