page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image      36   363  rgb     3   8  jpeg   no       523  0   238   235 5427B  14%
   1     1 smask      36   363  gray    1   8  image  no       523  0   238   235  193B 1.5%
   1     2 image     514    36  rgb     3   8  jpeg   no       505  0   236   238 7299B  13%
   1     3 smask     514    36  gray    1   8  image  no       505  0   236   238  106B 0.6%
   1     4 image      19    73  rgb     3   8  jpeg   no       506  0   232   236 2305B  55%
   1     5 smask      19    73  gray    1   8  image  no       506  0   232   236   85B 6.1%
   1     6 image     103    19  rgb     3   8  jpeg   no       507  0   236   236 2734B  47%
   1     7 smask     103    19  gray    1   8  image  no       507  0   236   236   33B 1.7%
   1     8 image      19    73  rgb     3   8  jpeg   no       508  0   232   236 2147B  52%
   1     9 smask      19    73  gray    1   8  image  no       508  0   232   236   85B 6.1%
   1    10 image     105    19  rgb     3   8  jpeg   no       509  0   235   236 2613B  44%
   1    11 smask     105    19  gray    1   8  image  no       509  0   235   236   33B 1.7%
   1    12 image      19    73  rgb     3   8  jpeg   no       510  0   232   236 2254B  54%
   1    13 smask      19    73  gray    1   8  image  no       510  0   232   236   85B 6.1%
   1    14 image     106    19  rgb     3   8  jpeg   no       511  0   236   236 2923B  48%
   1    15 smask     106    19  gray    1   8  image  no       511  0   236   236   33B 1.6%
   1    16 image      19    73  rgb     3   8  jpeg   no       512  0   240   236 1587B  38%
   1    17 smask      19    73  gray    1   8  image  no       512  0   240   236   85B 6.1%
   1    18 image      71    19  rgb     3   8  jpeg   no       513  0   236   240 1605B  40%
   1    19 smask      71    19  gray    1   8  image  no       513  0   236   240   28B 2.1%
   1    20 image      35   359  rgb     3   8  jpeg   no       514  0   236   236 3690B 9.8%
   1    21 smask      35   359  gray    1   8  image  no       514  0   236   236  183B 1.5%
   1    22 image     514    35  rgb     3   8  jpeg   no       515  0   236   236 5155B 9.6%
   1    23 smask     514    35  gray    1   8  image  no       515  0   236   236  109B 0.6%
   1    24 image      19    70  rgb     3   8  jpeg   no       516  0   240   235 2174B  54%
   1    25 smask      19    70  gray    1   8  image  no       516  0   240   235   81B 6.1%
   1    26 image     102    18  rgb     3   8  jpeg   no       517  0   236   231 2299B  42%
   1    27 smask     102    18  gray    1   8  image  no       517  0   236   231   31B 1.7%
   1    28 image      19    70  rgb     3   8  jpeg   no       518  0   240   235 2013B  50%
   1    29 smask      19    70  gray    1   8  image  no       518  0   240   235   81B 6.1%
   1    30 image     104    18  rgb     3   8  jpeg   no       519  0   236   231 2003B  36%
   1    31 smask     104    18  gray    1   8  image  no       519  0   236   231   31B 1.7%
   1    32 image      19    71  rgb     3   8  jpeg   no       520  0   240   237 1818B  45%
   1    33 smask      19    71  gray    1   8  image  no       520  0   240   237   85B 6.3%
   1    34 image     106    19  rgb     3   8  jpeg   no       521  0   236   240 2535B  42%
   1    35 smask     106    19  gray    1   8  image  no       521  0   236   240   33B 1.6%
   1    36 image      19    70  rgb     3   8  jpeg   no       522  0   240   235 1441B  36%
   1    37 smask      19    70  gray    1   8  image  no       522  0   240   235   84B 6.3%
   1    38 image      71    19  rgb     3   8  jpeg   no       513  0   236   240 1605B  40%
   1    39 smask      71    19  gray    1   8  image  no       513  0   236   240   28B 2.1%
   2    40 image     579   541  rgb     3   8  jpeg   no       632  0  2975  2976  128K  14%
   2    41 smask     579   541  gray    1   8  image  no       632  0  2975  2976 47.1K  15%
   2    42 image    1196   796  rgb     3   8  jpeg   no       633  0  2385  2378  380K  14%
   2    43 image     620   605  rgb     3   8  jpeg   no       634  0  1999  1999  105K 9.5%
   2    44 smask     620   605  gray    1   8  image  no       634  0  1999  1999 47.3K  13%
   2    45 image     919   908  rgb     3   8  jpeg   no       635  0  7044  6960  127K 5.2%
   2    46 image     395   395  rgb     3   8  jpeg   no       636  0  2338  2323 54.5K  12%
   2    47 smask     395   395  gray    1   8  image  no       636  0  2338  2323 27.6K  18%
   2    48 image     861   855  rgb     3   8  jpeg   no       637  0  7596  7615  114K 5.3%
   2    49 image    1081   668  rgb     3   8  jpeg   no       638  0  2755  2614  159K 7.5%
   2    50 smask    1081   668  gray    1   8  image  no       638  0  2755  2614  110K  16%
   2    51 image     801   684  rgb     3   8  jpeg   no       639  0  2334  2183  167K  10%
   2    52 smask     801   684  gray    1   8  image  no       639  0  2334  2183 76.5K  14%
   3    53 image    1024  1024  rgb     3   8  jpeg   no       648  0  5270  4960 70.0K 2.3%
   3    54 smask    1024  1024  gray    1   8  image  no       648  0  5270  4960 83.0K 8.1%
   3    55 image     675   640  rgb     3   8  jpeg   no       649  0  4008  3972 36.3K 2.9%
   3    56 smask     675   640  gray    1   8  image  no       649  0  4008  3972 64.8K  15%
   3    57 image    1196   796  rgb     3   8  jpeg   no       650  0  3319  3310 50.1K 1.8%
   3    58 image     919   908  rgb     3   8  jpeg   no       651  0  8225  8186 33.2K 1.4%
   3    59 image     861   855  rgb     3   8  jpeg   no       652  0 10032 10057 25.4K 1.2%
   3    60 image     579   541  rgb     3   8  jpeg   no       653  0  3764  3754 29.1K 3.2%
   3    61 smask     579   541  gray    1   8  image  no       653  0  3764  3754 47.1K  15%
   3    62 image     861   855  rgb     3   8  jpeg   no       652  0 10032 10057 25.4K 1.2%
   3    63 image     633   758  rgb     3   8  jpeg   no       654  0  2547  2729 40.0K 2.8%
   3    64 smask     633   758  gray    1   8  image  no       654  0  2547  2729 65.8K  14%
   3    65 image     919   908  rgb     3   8  jpeg   no       651  0  7937  7898 33.2K 1.4%
   3    66 image     861   855  rgb     3   8  jpeg   no       652  0  7596  7543 25.4K 1.2%
   3    67 image     919   908  rgb     3   8  jpeg   no       651  0  7993  7954 33.2K 1.4%
   3    68 image    1024  1024  rgb     3   8  jpeg   no       648  0  5270  4960 70.0K 2.3%
   3    69 smask    1024  1024  gray    1   8  image  no       648  0  5270  4960 83.0K 8.1%
   3    70 image     675   640  rgb     3   8  jpeg   no       649  0  4008  3972 36.3K 2.9%
   3    71 smask     675   640  gray    1   8  image  no       649  0  4008  3972 64.8K  15%
   3    72 image     633   758  rgb     3   8  jpeg   no       654  0  2547  2729 40.0K 2.8%
   3    73 smask     633   758  gray    1   8  image  no       654  0  2547  2729 65.8K  14%
   3    74 image     633   758  rgb     3   8  jpeg   no       654  0  2547  2729 40.0K 2.8%
   3    75 smask     633   758  gray    1   8  image  no       654  0  2547  2729 65.8K  14%
   5    76 image     614   435  rgb     3   8  jpeg   no       664  0   281   281 90.2K  12%
   5    77 image     600   432  rgb     3   8  jpeg   no       659  0   284   283 77.5K  10%
   5    78 image     627   436  rgb     3   8  jpeg   no       660  0   284   284 98.8K  12%
   5    79 image     208   112  rgb     3   8  jpeg   no       661  0   226   225 19.1K  28%
   5    80 image     236   112  rgb     3   8  jpeg   no       662  0   238   238 23.2K  30%
   5    81 image     222   112  rgb     3   8  jpeg   no       663  0   229   229 21.2K  29%
  11    82 image     625   556  rgb     3   8  jpeg   no       690  0   301   301 70.6K 6.9%
  11    83 image     309   304  rgb     3   8  jpeg   no       689  0   249   250 51.1K  19%
  12    84 image    1483   778  rgb     3   8  image  no       561  0   224   224  207K 6.1%
  12    85 smask    1483   778  gray    1   8  image  no       561  0   224   224 1140B 0.1%
  14    86 image    1189   390  rgb     3   8  jpeg   no       700  0   174   173 70.9K 5.2%
  14    87 image    2559  1320  rgb     3   8  jpeg   no       703  0   380   380  583K 5.9%
