page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   2     0 image     360   360  icc     3   8  jpeg   yes      203  0   673   672 33.5K 8.8%
   2     1 image    1024   550  icc     3   8  image  yes      204  0  1821  1823 54.1K 3.3%
   2     2 image     245   240  icc     3   8  jpeg   yes      205  0  1748  1713 11.8K 6.9%
   2     3 smask     245   240  gray    1   8  image  yes      205  0  1748  1713 3069B 5.2%
   2     4 image     245   240  icc     3   8  jpeg   yes      205  0  1748  1713 11.8K 6.9%
   2     5 smask     245   240  gray    1   8  image  yes      205  0  1748  1713 3069B 5.2%
   5     6 image     200   200  icc     3   8  image  yes      459  0   390   390 3690B 3.1%
  27     7 image     540  1024  rgb     3   8  image  no      1107  0   179   179  108K 6.6%
  27     8 smask     540  1024  gray    1   8  image  no      1107  0   179   179  562B 0.1%
  28     9 image    1314  2230  rgb     3   8  image  no      1110  0   306   306  170K 2.0%
  28    10 smask    1314  2230  gray    1   8  image  no      1110  0   306   306 2862B 0.1%
  29    11 image    1472  1080  rgb     3   8  image  no      1112  0   326   326  103K 2.2%
  29    12 smask    1472  1080  gray    1   8  image  no      1112  0   326   326 1563B 0.1%
  31    13 image    1149  1104  rgb     3   8  image  no      1199  0   261   261 79.7K 2.1%
  31    14 smask    1149  1104  gray    1   8  image  no      1199  0   261   261 1252B 0.1%
  32    15 image    1150  1012  rgb     3   8  image  no      1200  0   261   261  102K 3.0%
  32    16 smask    1150  1012  gray    1   8  image  no      1200  0   261   261 1150B 0.1%
  33    17 image    1150  1644  rgb     3   8  image  no      1201  0   261   261  156K 2.8%
  33    18 smask    1150  1644  gray    1   8  image  no      1201  0   261   261 1854B 0.1%
  34    19 image    1150  1765  rgb     3   8  image  no      1202  0   261   261  184K 3.1%
  34    20 smask    1150  1765  gray    1   8  image  no      1202  0   261   261 1990B 0.1%
  35    21 image    1150  1790  rgb     3   8  image  no      1205  0   261   261  152K 2.5%
  35    22 smask    1150  1790  gray    1   8  image  no      1205  0   261   261 2018B 0.1%
  36    23 image    1150   980  rgb     3   8  image  no      1206  0   261   261 70.6K 2.1%
  36    24 smask    1150   980  gray    1   8  image  no      1206  0   261   261 1115B 0.1%
  37    25 image    1150   966  rgb     3   8  image  no      1207  0   261   261 75.7K 2.3%
  37    26 smask    1150   966  gray    1   8  image  no      1207  0   261   261 1099B 0.1%
  37    27 image    1150  1018  rgb     3   8  image  no      1208  0   261   261  105K 3.1%
  37    28 smask    1150  1018  gray    1   8  image  no      1208  0   261   261 1157B 0.1%
  38    29 image    1200  1887  rgb     3   8  image  no      1209  0   273   273  153K 2.3%
  38    30 smask    1200  1887  gray    1   8  image  no      1209  0   273   273 2217B 0.1%
  39    31 image    1200   825  rgb     3   8  image  no      1210  0   273   273 67.5K 2.3%
  39    32 smask    1200   825  gray    1   8  image  no      1210  0   273   273  982B 0.1%
  40    33 image    1199  1844  rgb     3   8  image  no      1211  0   273   273  177K 2.7%
  40    34 smask    1199  1844  gray    1   8  image  no      1211  0   273   273 2165B 0.1%
