id,problem,condition,status,verified,runtime_sha256,stop_code,stop_scope,legacy_unverified_cost_usd,api_calls,input_tokens,output_tokens,cost_usd,cost_complete,cost_source,costed_api_calls,elapsed_s,plan_refinements,decompositions
PB-Basic-025-astra-top-split,PB-Basic-025,astra-top-split,completed,True,85e17caffd427ee1f12b25c9010f135841e91832391e6b6fb03d1e0b76ea7a7e,,,,114,2180980,33270,,False,unavailable,0,996.036,0,0
PB-Basic-026-astra-top-split,PB-Basic-026,astra-top-split,completed,True,85e17caffd427ee1f12b25c9010f135841e91832391e6b6fb03d1e0b76ea7a7e,,,,199,5633310,64276,,False,unavailable,0,1654.188,0,0
PB-Basic-028-astra-top-split,PB-Basic-028,astra-top-split,completed,True,85e17caffd427ee1f12b25c9010f135841e91832391e6b6fb03d1e0b76ea7a7e,,,,175,4898759,62365,,False,unavailable,0,1676.561,0,0
PB-Basic-029-astra-top-split,PB-Basic-029,astra-top-split,completed,True,85e17caffd427ee1f12b25c9010f135841e91832391e6b6fb03d1e0b76ea7a7e,,,,162,4960388,84668,,False,unavailable,0,3463.724,0,0
PB-Basic-030-astra-top-split,PB-Basic-030,astra-top-split,completed,True,85e17caffd427ee1f12b25c9010f135841e91832391e6b6fb03d1e0b76ea7a7e,,,,169,4380750,152558,,False,unavailable,0,5835.959,0,0
PB-Advanced-002-astra-top-split,PB-Advanced-002,astra-top-split,completed,True,85e17caffd427ee1f12b25c9010f135841e91832391e6b6fb03d1e0b76ea7a7e,,,,106,1525220,55746,,False,unavailable,0,1311.37,0,0
PB-Advanced-003-astra-top-split,PB-Advanced-003,astra-top-split,completed,True,85e17caffd427ee1f12b25c9010f135841e91832391e6b6fb03d1e0b76ea7a7e,,,,674,26494864,247137,,False,unavailable,0,13260.902,0,1
PB-Advanced-004-astra-top-split,PB-Advanced-004,astra-top-split,completed,True,85e17caffd427ee1f12b25c9010f135841e91832391e6b6fb03d1e0b76ea7a7e,,,,88,1678780,42590,,False,unavailable,0,1084.676,0,0
PB-Advanced-005-astra-top-split,PB-Advanced-005,astra-top-split,completed,True,85e17caffd427ee1f12b25c9010f135841e91832391e6b6fb03d1e0b76ea7a7e,,,,105,1952430,54239,,False,unavailable,0,1475.703,0,0
PB-Advanced-009-astra-top-split,PB-Advanced-009,astra-top-split,completed,True,8212cf9bec8da7924b80fb773f6241699abbab6c33693ee32b288dc89c26632f,,,,200,6407557,109384,,False,unavailable,0,5053.576,0,0
PB-Advanced-010-astra-top-split,PB-Advanced-010,astra-top-split,completed,True,8212cf9bec8da7924b80fb773f6241699abbab6c33693ee32b288dc89c26632f,,,,158,4381678,75639,,False,unavailable,0,2669.153,0,0
PB-Advanced-015-astra-top-split,PB-Advanced-015,astra-top-split,completed,True,8212cf9bec8da7924b80fb773f6241699abbab6c33693ee32b288dc89c26632f,,,,323,11623747,107474,,False,unavailable,0,3204.099,0,0
PB-Advanced-016-astra-top-split,PB-Advanced-016,astra-top-split,completed,True,8212cf9bec8da7924b80fb773f6241699abbab6c33693ee32b288dc89c26632f,,,,202,5871166,72985,,False,unavailable,0,2109.364,0,0
PB-Advanced-018-astra-top-split,PB-Advanced-018,astra-top-split,completed,True,8212cf9bec8da7924b80fb773f6241699abbab6c33693ee32b288dc89c26632f,,,,446,13802812,194964,,False,unavailable,0,5699.368,0,0
PB-Advanced-021-astra-top-split,PB-Advanced-021,astra-top-split,completed,True,8212cf9bec8da7924b80fb773f6241699abbab6c33693ee32b288dc89c26632f,,,,149,2726527,66213,,False,unavailable,0,1728.461,0,0
PB-Advanced-022-astra-top-split,PB-Advanced-022,astra-top-split,completed,True,8212cf9bec8da7924b80fb773f6241699abbab6c33693ee32b288dc89c26632f,,,,229,6716777,66734,,False,unavailable,0,1849.317,0,0
PB-Advanced-023-astra-top-split,PB-Advanced-023,astra-top-split,completed,True,8212cf9bec8da7924b80fb773f6241699abbab6c33693ee32b288dc89c26632f,,,,147,3042719,67746,,False,unavailable,0,1865.239,0,0
PB-Advanced-027-astra-top-split,PB-Advanced-027,astra-top-split,completed,True,8212cf9bec8da7924b80fb773f6241699abbab6c33693ee32b288dc89c26632f,,,,62,697400,31710,,False,unavailable,0,932.712,0,0
